COD,HA
1106,24.34
1107,13.33
1108,65.88
1109,2.9699999999999998
1110,4.41
1111,13.76
1112,29.86
1113,6.93
1114,104.54
1115,40.29
1116,20.04
1117,33.93
1118,7.83
1119,7.56
1120,9.39
1121,2.8
1122,12.33
1123,12.17
1124,5.4
1125,7.66
1126,32.11
1127,4.45
1128,1.8900000000000001
1129,46.24
1130,6.3
1131,14.78
1132,11.86
1133,8.379999999999999
1134,2.7199999999999998
1135,1.09
1136,7.87
1137,1.05
1138,11.86
1139,5.31
1140,3.85
1141,16.28
1142,4.96
1143,1.03
1144,10.98
1145,64.07
1146,22.39
1147,9.09
1148,1.06
1149,4.9399999999999995
1150,1.01
1151,1.06
1152,137.91
1153,406.1
1154,2.98
1155,9.21
1156,1.02
1157,1.03
1158,1.44
1159,24.62
1160,1.6400000000000001
1161,20.54
1162,1.12
1163,18.49
1164,5.78
1165,1.21
1166,1.03
1167,1.03
1168,1.1400000000000001
1169,7.29
1170,15.62
1171,2.4299999999999997
1172,3.15
1173,1.02
1174,1.27
1175,1.52
1176,748.13
1177,30.96
1178,4.109999999999999
1179,8.2
1180,4.83
1181,5.24
1182,11.44
1183,7.55
1184,1.01
1185,56.13
1186,14.49
1187,5.37
1188,9.58
1189,55.84
1190,1.8
1191,5.45
1192,6.38
1193,12.32
1194,8.65
1195,1.21
1196,15.08
1197,4.76
1198,1.5
1199,25.96
1200,13.24
1201,9.74
1202,5.74
1203,1.02
1204,5.38
1205,5.64
1206,96.23
1207,7.11
1208,9.61
1209,1.28
1210,2.48
1211,1333.88
